model,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2
Linear Regression,4.62770120330411,5.942899824098054,0.6934501191708582,4.654810482421866,6.021061596339057,0.6575655846879895,4.8942445054718,6.293385417146447,0.6446636595987936
Ridge Regression,4.640969801651962,5.964054549665621,0.6912638057663274,4.4165356547375145,5.773457462425134,0.6851503563343706,4.860127921191173,6.253609824608082,0.649141074679236
Random Forest,1.862768737150695,2.4128667062331783,0.949467475638444,3.937423272197413,5.0488314758840485,0.759224100074251,4.161015115193923,5.481316031819942,0.7304491836550999
XGBoost,0.3918396830558777,0.6101804691836841,0.996768355369568,3.8956587314605713,5.060942422005267,0.7580676078796387,4.211982250213623,5.523564748633679,0.7262779474258423
Stacking Ensemble,3.791253617348163,4.987325190504176,0.7841064311667736,4.1681570439631725,5.4160233613804,0.7229282018029615,4.351110119521639,5.673341178050159,0.7112321965160376
