feature,rf_importance,xgb_importance,avg_importance
pulau_Jawa,0.2432129515612254,0.32606214,0.1897583638537418
pulau_Kalimantan,0.1520552210734961,0.22271127,0.12492216369116536
luas_panen_ha,0.1183060076515637,0.0010967788,0.0398009288171879
pulau_Bali,0.0140775696671761,0.08437224,0.032816603222392035
water_balance_MH,0.0471608574286962,0.006329331,0.017830062809565398
provinsi_Bali,0.0139007190923494,0.029000126,0.014300281697449799
provinsi_Aceh,0.0194225890631516,0.019202618,0.012875069021050534
provinsi_Kalimantan Selatan,0.016117149888701,0.021085737,0.012400962296233666
provinsi_Nusa Tenggara Timur,0.0053071930696574,0.028905656,0.011404283023219131
T2M_mean_tahun,0.029704013577837,0.002020093,0.010574702192612332
provinsi_Sulawesi Tenggara,0.0054044249305482,0.02601433,0.010472918310182733
T2M_mean_tahun_lag1,0.0256267540268561,0.003839362,0.0098220386756187
provinsi_Kepulauan Bangka Belitung,0.0081567894422673,0.018990371,0.009049053480755766
pulau_Maluku,0.0030146575500146,0.023979403,0.0089980201833382
tipe_wilayah_Kabupaten,0.0180132195039672,0.0051722145,0.0077284780013224
tipe_wilayah_Kota,0.0193780776089186,0.0031681529,0.007515410169639533
provinsi_Kalimantan Tengah,0.000438026476913,0.021143986,0.007194004158971
RH2M_mean_tahun_lag1,0.0180583503437361,0.0032014875,0.0070866126145786995
provinsi_Kalimantan Barat,7.66353503166257e-05,0.021015212,0.007030615783438874
RH2M_mean_tahun,0.0181228736089782,0.0027703561,0.006964409902992733
intensitas_hujan_MK,0.0172074936277497,0.0018751317,0.0063608751092499
intensitas_hujan_MH,0.0154671457604641,0.0029837065,0.006150284086821366
provinsi_Riau,0.0047958765272565,0.013273564,0.0060231468424188335
T2M_std_MK,0.0166734926891243,0.0013651071,0.006012866596374767
T2M_mean_MK,0.0157090023469735,0.0022444152,0.0059844725156578335
rasio_hujan_MH_MK,0.009806297638335,0.0034402441,0.004415513912778333
provinsi_Nusa Tenggara Barat,0.003344877949645,0.0098307775,0.004391885149881667
provinsi_Sumatera Utara,0.0059738700248996,0.0071682874,0.0043807191416332
pulau_Sulawesi,0.0032319799672068,0.009829094,0.004353691322402267
provinsi_Gorontalo,0.0012789137753864,0.01151344,0.0042641179251288
T2M_min_tahun,0.0107938853270879,0.0019237668,0.0042392173756959665
water_balance_MK,0.0110153981134279,0.0015406642,0.004185354104475967
pulau_Sumatera,0.0014193769245459,0.010624313,0.0040145633081819666
range_suhu_harian_MK,0.0108551555612345,0.00078720675,0.0038807874370781668
range_suhu_harian_tahun,0.0096232642743144,0.0009382891,0.0035205177914381333
T2M_std_tahun,0.0094773735781035,0.0010237126,0.0035003620593678335
PRECTOTCORR_sum_MH,0.0093569755633898,0.00076584576,0.0033742737744632666
provinsi_Maluku,0.0007539484891546,0.009237355,0.003330434496384866
PRECTOTCORR_sum_MK_lag1,0.0084339403143619,0.0014549118,0.0032962840381206334
PRECTOTCORR_sum_tahun_lag1,0.0080128328829285,0.0011408207,0.003051217860976167
jumlah_hari_kering_tahun_lag1,0.0078389745049174,0.0010142176,0.002951064034972467
PRECTOTCORR_sum_tahun,0.0063691753577407,0.00039661647,0.0022552639425802335
max_consecutive_dry_MK_lag1,0.0057167523016131,0.0009298354,0.002215529233871033
PRECTOTCORR_sum_MK,0.0057193364459724,0.0006621296,0.0021271553486574665
pct_hari_kering_MK,0.0052642231961794,0.0009416531,0.0020686254320598
pulau_Nusa Tenggara,0.0001329294770833,0.0059378264,0.0020235852923611002
jumlah_hari_kering_tahun,0.0052019327831787,0.00071734365,0.0019730921443929
max_consecutive_dry_MK,0.0041260298333605,0.0006672531,0.0015977609777868334
provinsi_Jambi,0.0012112319457267,0.003073017,0.0014280829819089001
provinsi_Sulawesi Barat,0.0003821749732616,0.0027312993,0.0010378247577538667
provinsi_Sulawesi Utara,0.0010582073810019,0.0018533892,0.0009705321936673
provinsi_Lampung,0.0004099473767903,0.002473126,0.0009610244589301
provinsi_Sulawesi Selatan,0.0007172948784878,0.002159276,0.0009588569594959333
provinsi_DI Yogyakarta,0.0010133864601321,0.001450267,0.0008212178200440334
provinsi_Sulawesi Tengah,0.0001605707099149,0.0017537768,0.0006381158366383
provinsi_Bengkulu,0.0007721404274882,0.0010469268,0.0006063557424960666
provinsi_Kalimantan Timur,0.0009070925055338,0.00087651,0.0005945341685112668
provinsi_Banten,0.000535473355035,0.0010817164,0.0005390632516783333
provinsi_Sumatera Barat,0.0003441159779708,0.0011063282,0.0004834813926569333
provinsi_DKI Jakarta,0.000702796511121,0.00070707523,0.00046995724704033335
provinsi_Sumatera Selatan,0.000365004295184,0.0009280512,0.0004310184983946667
provinsi_Jawa Timur,0.0005655497695989,0.00072590576,0.0004304851765329666
is_micro_area,0.0005872653367316,0.00044383705,0.0003437007955772
provinsi_Jawa Tengah,0.0003926500367865,0.0006150704,0.0003359068122621666
provinsi_Kepulauan Riau,4.6713067712512055e-05,0.0009522984,0.00033300382257083735
provinsi_Maluku Utara,0.0003117822576898,0.0005678949,0.0002932257192299333
provinsi_Kalimantan Utara,4.653285398423105e-05,0.0007396202,0.0002620510179947437
provinsi_Jawa Barat,0.0003155337278403,0.0004062202,0.00024058464261343334
