model,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,plot_value
Linear Regression,"[18820.796426068493, 18505.793081046777, 18749.011477749078, 18635.666964737095, 18495.775133012412]","[32815.35312704448, 32022.766377380176, 33566.18747550517, 32583.38401999631, 33347.717498081955]","[0.9769585708311023, 0.9776729017285349, 0.9764866616520389, 0.9772035879300199, 0.9756147004716197]","[18103.81063106512, 20095.448293210793, 18038.869421118296, 18704.06172527367, 18525.20033538716]","[33183.030430368024, 36295.11285256476, 30024.073166245766, 34061.64512019622, 31035.046791994406]","[0.9759682450711444, 0.9731360220424613, 0.9780540390821258, 0.975017250795553, 0.980867210221706]",32.919781672273835
Random Forest,"[4812.870929509904, 4979.021087101926, 4879.002572927438, 4909.132420033709, 5149.665708785484]","[9366.615239783032, 10539.828456998339, 10183.731803878358, 10470.603669846521, 10681.515488334635]","[0.9981227564947857, 0.9975813018358802, 0.9978356665671713, 0.9976459397875923, 0.997498147993362]","[14364.757044781925, 13487.728055254616, 13979.733016136846, 13648.805064174998, 12914.0988082758]","[37059.92396238926, 27862.97885536348, 26391.87438352195, 27042.079935794172, 25859.00381310037]","[0.9700247755502761, 0.9841682431570812, 0.9830427332160332, 0.9842533137979773, 0.9867169725210704]",28.843172190033847
XGBoost,"[9028.714114443435, 8783.608235995092, 8717.630097986223, 8471.155349603589, 8936.472398260332]","[14527.523964351863, 14183.353150466344, 14020.188603666544, 13433.315904199051, 14153.357116198316]","[0.9954841609989022, 0.9956200170191505, 0.9958977892033312, 0.9961252777132935, 0.9956074693889893]","[15206.665550723992, 13159.18772958452, 14503.32153621807, 13755.472444084364, 13741.784825769211]","[36591.34772576301, 23016.966036385707, 25385.06067344775, 28701.270065200875, 24849.978577583326]","[0.9707779817841923, 0.9891963582623076, 0.9843118478196337, 0.982261731722617, 0.9877333625926017]",27.70892461567613
