kabupaten,luas_panen,produktivitas,produksi,tahun,curah_hujan_rataan,curah_hujan_total,suhu_rataan,suhu_maksimum,suhu_minimum,kelembapan_rataan
bireuen,24525.54,61.32,150400.84,2021,6.758657534246575,2466.91,24.022931506849318,25.49,22.49,87.02498630136986
aceh utara,62454.55,57.7,360353.4,2021,6.758657534246575,2466.91,24.022931506849318,25.49,22.49,87.02498630136986
aceh barat daya,13373.22,54.58,72985.18,2021,8.88682191780822,3243.69,25.272219178082192,26.69,23.36,81.19084931506849
gayo lues,4079.41,60.35,24618.49,2021,7.76145205479452,2832.93,19.490164383561645,21.4,17.7,89.6209589041096
aceh tamiang,14186.99,48.75,69164.58,2021,6.536054794520547,2385.66,25.260986301369865,27.06,23.33,86.20350684931506
nagan raya,8911.18,46.07,41056.31,2021,8.015068493150684,2925.5,26.461780821917806,27.9,24.4,82.47
aceh jaya,9990.28,49.6,49550.64,2021,6.581753424657535,2402.34,27.568027397260273,29.66,25.55,78.94558904109589
bener meriah,373.5,46.57,1739.39,2021,8.391068493150684,3062.74,19.606328767123287,21.65,17.54,89.45564383561644
pidie jaya,15550.93,60.35,93842.7,2021,8.415890410958905,3071.8,22.602383561643837,24.41,20.72,89.36953424657534
banda aceh,13.19,53.31,70.32,2021,8.66745205479452,3163.62,26.762739726027398,28.24,25.17,79.8321095890411
langsa,1560.93,40.77,6364.37,2021,6.148465753424658,2244.19,27.47605479452055,29.24,25.64,80.06556164383562
lhokseumawe,1902.81,57.0,10845.97,2021,6.758657534246575,2466.91,24.022931506849318,25.49,22.49,87.02498630136986
subulussalam,141.87,53.37,757.12,2021,8.961342465753424,3270.89,23.92109589041096,25.67,21.95,86.93813698630137
simeulue,4568.38,25.5,11648.15,2022,6.932602739726027,2530.4,27.88054794520548,29.41,25.98,78.10986301369863
aceh singkil,398.8,55.26,2203.58,2022,8.589863013698631,3135.3,27.564602739726027,29.18,25.65,78.69621917808219
aceh selatan,6780.36,44.67,30288.69,2022,7.6776986301369865,2802.36,25.15890410958904,26.76,23.38,84.68865753424657
aceh tenggara,10572.44,65.72,69478.52,2022,7.721013698630137,2818.17,20.457424657534247,22.28,18.59,89.23134246575341
aceh timur,24556.61,53.0,130151.43,2022,6.183424657534246,2256.95,27.49805479452055,29.37,25.2,81.15509589041096
aceh tengah,2821.09,48.77,13757.16,2022,9.006876712328769,3287.51,19.492191780821916,21.61,17.38,90.00024657534246
aceh barat,12703.03,49.7,63136.39,2022,8.484602739726027,3096.88,26.371698630136986,28.13,24.3,83.29391780821918
aceh besar,35497.59,56.37,200097.22,2022,7.925808219178083,2892.92,26.780547945205477,28.59,24.6,79.78358904109588
pidie,31167.2,60.46,188438.42,2022,8.220520547945204,3000.49,22.560082191780822,24.33,20.49,89.64608219178082
bireuen,22512.74,60.88,137057.19,2022,7.22227397260274,2636.13,24.048876712328767,26.03,22.18,87.43542465753424
aceh utara,54188.72,59.76,323839.47,2022,7.22227397260274,2636.13,24.048876712328767,26.03,22.18,87.43542465753424
aceh barat daya,11814.76,57.85,68350.84,2022,8.022301369863014,2928.14,25.171726027397263,26.7,23.33,81.63627397260274
gayo lues,4924.05,58.15,28634.5,2022,7.828849315068494,2857.53,19.396602739726028,21.33,17.29,90.17167123287672
aceh tamiang,16139.14,37.12,59902.25,2022,6.725890410958904,2454.95,25.26772602739726,27.34,22.97,87.26331506849316
nagan raya,6501.18,49.51,32185.63,2022,8.484602739726027,3096.88,26.371698630136986,28.13,24.3,83.29391780821918
aceh jaya,9853.9,43.42,42784.33,2022,8.068191780821918,2944.89,27.457753424657533,29.61,25.34,79.98504109589041
bener meriah,317.77,53.99,1715.62,2022,9.006876712328769,3287.51,19.492191780821916,21.61,17.38,90.00024657534246
pidie jaya,12943.74,68.35,88469.06,2022,8.220520547945204,3000.49,22.560082191780822,24.33,20.49,89.64608219178082
banda aceh,13.07,55.83,72.97,2022,7.925808219178083,2892.92,26.780547945205477,28.59,24.6,79.78358904109588
langsa,1610.27,44.1,7101.39,2022,6.183424657534246,2256.95,27.49805479452055,29.37,25.2,81.15509589041096
lhokseumawe,1812.04,54.63,9899.07,2022,7.22227397260274,2636.13,24.048876712328767,26.03,22.18,87.43542465753424
subulussalam,53.28,45.9,244.58,2022,9.297698630136987,3393.66,23.77041095890411,25.44,21.79,87.46871232876713
simeulue,5780.84,38.13,22042.94,2023,5.814904109589041,2122.44,28.088054794520545,29.82,26.08,78.92068493150684
aceh singkil,568.49,45.55,2589.4,2023,7.667342465753425,2798.58,27.794465753424657,29.74,25.72,79.79931506849314
aceh selatan,9437.58,49.11,46345.03,2023,6.883342465753425,2512.42,25.514876712328768,27.6,23.41,85.75643835616438
aceh tenggara,10809.75,58.99,63764.22,2023,7.4707123287671235,2726.81,21.04186301369863,23.45,18.77,89.65446575342466
aceh timur,20932.84,51.71,108241.39,2023,5.020301369863014,1832.41,27.91043835616438,30.02,25.53,80.85443835616438
aceh tengah,2768.66,47.79,13230.39,2023,8.357397260273972,3050.45,20.12917808219178,22.06,16.7,89.8064109589041
