kabupaten,luas_panen,produktivitas,produksi,tahun
Kab. Ciamis,"44307,13",53.32,236248.23,2024
Kab. Kuningan,"41522,97",53.81,223427.76,2024
Kab. Cirebon,"84465,74",60.45,510632.02,2024
Kab. Majalengka,"87220,48",55.5,484085.66,2024
Kab. Sumedang,"49430,79",55.0,271869.0,2024
Kab. Indramayu,"212866,19",65.74,1399352.12,2024
Kab. Subang,"163881,64",59.12,968941.45,2024
Kab. Purwakarta,"30629,17",58.9,180397.1,2024
Kab. Karawang,"183065,46",56.89,1041530.95,2024
Kab. Bekasi,"84199,55",49.46,416476.98,2024
Kab. Bandung Barat,"27566,67",53.98,148802.98,2024
Kab. Pangandaran,"24131,55",48.98,118188.45,2024
Kota Bogor,"28,35",53.05,150.39,2024
Kota Sukabumi,"2337,35",58.58,13693.1,2024
Kota Bandung,"940,85",69.59,6547.7,2024
Kota Cirebon,"99,81",63.94,638.23,2024
Kota Bekasi,"282,68",42.86,1211.69,2024
Kota Depok,"5,82",56.24,32.73,2024
Kota Cimahi,"70,93",61.38,435.34,2024
Kota Tasikmalaya,"6532,64",54.19,35403.54,2024
Kota Banjar,"4782,04",60.46,28913.8,2024
Kab. Bogor,59502,58.15,345984.0,2025
Kab. Sukabumi,122485,53.89,660107.0,2025
Kab. Cianjur,137496,58.24,800735.0,2025
Kab. Bandung,55849,63.26,353307.0,2025
Kab. Garut,94041,59.09,555727.0,2025
Kab. Tasikmalaya,97519,53.82,524895.0,2025
Kab. Ciamis,58549,56.58,331255.0,2025
Kab. Kuningan,48264,51.73,249686.0,2025
Kab. Cirebon,93883,60.56,568548.0,2025
Kab. Majalengka,89930,55.18,496250.0,2025
Kab. Sumedang,55012,53.45,294027.0,2025
Kab. Indramayu,239498,66.11,1583262.0,2025
Kab. Subang,184319,59.4,1094781.0,2025
Kab. Purwakarta,33459,56.42,188774.0,2025
Kab. Karawang,202293,59.06,1194712.0,2025
Kab. Bekasi,97547,51.28,500189.0,2025
Kab. Bandung Barat,37006,58.12,215065.0,2025
Kab. Pangandaran,30469,52.82,160944.0,2025
Kota Bogor,141,57.23,805.0,2025
Kota Sukabumi,2721,58.19,15835.0,2025
Kota Bandung,1010,69.06,6978.0,2025
Kota Cirebon,125,54.05,676.0,2025
Kota Bekasi,184,48.81,897.0,2025
Kota Depok,10,53.69,52.0,2025
Kota Cimahi,97,59.33,575.0,2025
Kota Tasikmalaya,8571,59.25,50779.0,2025
Kota Banjar,5321,59.78,31808.0,2025
Kab. Cilacap,"124011,04",63.97,793265.2,2018
Kab. Banyumas,"59062,39",54.85,323966.16,2018
Kab. Purbalingga,"30103,86",63.41,190899.47,2018
Kab. Banjarnegara,"20226,71",58.02,117355.84,2018
Kab. Kebumen,"86342,34",57.42,495772.48,2018
Kab. Purworejo,"54859,3",53.11,291349.5,2018
Kab. Wonosobo,"15252,29",49.81,75977.15,2018
Kab. Magelang,"42920,24",55.68,238961.88,2018
Kab. Boyolali,"47619,97",56.05,266931.24,2018
Kab. Klaten,"69949,58",57.93,405213.97,2018
Kab. Sukoharjo,"52318,04",64.83,339191.04,2018
Kab. Wonogiri,"84593,03",54.92,464558.72,2018
Kab. Karanganyar,"45434,05",62.03,281818.52,2018
Kab. Sragen,"111467,83",61.15,681587.71,2018
Kab. Grobogan,"134601,24",59.24,797420.54,2018
Kab. Blora,"103811,68",58.6,608309.99,2018
Kab. Rembang,"40331,73",56.75,228865.76,2018
Kab. Pati,"96117,44",60.23,578935.69,2018
Kab. Kudus,"32949,71",61.46,202497.04,2018
Kab. Jepara,"42159,11",52.02,219295.62,2018
Kab. Demak,"114083,23",61.16,697786.82,2018
Kab. Semarang,"32038,66",57.44,184027.59,2018
Kab. Temanggung,"14427,8",64.2,92626.24,2018
Kab. Kendal,"36850,56",54.12,199421.36,2018
Kab. Batang,"34392,61",48.17,165665.71,2018
Kab. Pekalongan,"45434,21",47.35,215128.23,2018
Kab. Pemalang,76215,51.06,389121.08,2018
Kab. Tegal,"72984,71",56.69,413741.64,2018
Kab. Brebes,"93269,88",53.03,494578.9,2018
Kota Magelang,"171,11",51.98,889.38,2018
Kota Surakarta,"37,47",68.35,256.1,2018
Kota Salatiga,"824,32",60.08,4952.36,2018
Kota Semarang,"4962,87",54.65,27120.47,2018
Kota Pekalongan,"1650,35",53.66,8856.04,2018
Kota Tegal,"508,81",63.73,3242.79,2018
Kab. Cilacap,"110144,65",63.55,699964.69,2019
Kab. Banyumas,"51111,97",52.09,266228.84,2019
Kab. Purbalingga,"26756,91",54.37,145466.78,2019
Kab. Banjarnegara,"18925,18",58.83,111340.46,2019
Kab. Kebumen,"76154,59",56.09,427165.28,2019
Kab. Purworejo,"50587,63",53.37,270001.44,2019
Kab. Wonosobo,13958,50.55,70558.54,2019
Kab. Magelang,"38973,54",53.95,210268.5,2019
Kab. Boyolali,"46751,17",57.74,269955.32,2019
Kab. Klaten,"62115,58",57.74,358638.05,2019
Kab. Sukoharjo,"49061,56",69.19,339445.37,2019
Kab. Wonogiri,"63109,27",54.09,341370.25,2019
Kab. Karanganyar,"43366,84",61.76,267832.68,2019
Kab. Sragen,"111569,05",68.66,766012.3,2019
Kab. Grobogan,"136209,59",56.72,772521.47,2019
Kab. Blora,"100134,74",53.09,531612.56,2019
Kab. Rembang,"36734,46",44.04,161773.24,2019
Kab. Pati,"99453,48",59.54,592099.74,2019
Kab. Kudus,"31702,12",65.79,208566.2,2019
Kab. Jepara,"38637,98",53.42,206397.46,2019
Kab. Demak,"106629,56",62.47,666141.3,2019
Kab. Semarang,"27643,28",54.56,150815.97,2019
Kab. Temanggung,"13816,17",63.25,87380.59,2019
Kab. Kendal,"34984,1",58.82,205770.43,2019
Kab. Batang,"30890,03",50.15,154914.72,2019
Kab. Pekalongan,"40936,69",50.27,205771.32,2019
Kab. Pemalang,"71086,43",57.19,406556.5,2019
Kab. Tegal,"63038,91",48.32,304616.52,2019
Kab. Brebes,"76650,12",54.31,416313.45,2019
Kota Magelang,"163,77",59.16,968.93,2019
Kota Surakarta,"45,27",63.67,288.24,2019
Kota Salatiga,"690,03",57.2,3946.79,2019
Kota Semarang,"4207,74",53.2,22386.61,2019
Kota Pekalongan,"1619,74",55.37,8968.93,2019
Kota Tegal,"619,06",58.06,3594.51,2019
Kab. Cilacap,"117626,63",67.49,793906.97,2020
Kab. Banyumas,"52399,62",55.49,290756.37,2020
Kab. Purbalingga,"28616,11",56.83,162633.11,2020
Kab. Banjarnegara,"18903,54",52.45,99154.18,2020
Kab. Kebumen,"73675,96",50.41,371398.19,2020
Kab. Purworejo,"49844,53",54.83,273294.19,2020
Kab. Wonosobo,"13728,27",52.69,72339.82,2020
Kab. Magelang,"34634,18",48.32,167338.71,2020
Kab. Boyolali,"47760,01",47.2,225425.92,2020
Kab. Klaten,"63670,59",53.24,339013.18,2020
Kab. Sukoharjo,"45227,76",68.71,310778.15,2020
Kab. Wonogiri,"62444,28",55.7,347804.03,2020
Kab. Karanganyar,"43013,75",60.02,258152.42,2020
Kab. Sragen,"109013,25",65.57,714851.91,2020
Kab. Grobogan,"131929,86",61.1,806139.4,2020
Kab. Blora,"93986,48",51.21,481295.66,2020
Kab. Rembang,"31590,68",40.31,127344.23,2020
Kab. Pati,"101005,63",58.71,592999.98,2020
Kab. Kudus,"31698,29",55.44,175730.59,2020
Kab. Jepara,"40731,79",50.11,204117.51,2020
Kab. Demak,"106710,77",61.76,659065.26,2020
Kab. Semarang,"27949,05",58.08,162337.1,2020
Kab. Temanggung,"12413,34",61.79,76704.57,2020
Kab. Kendal,"33302,73",54.25,180668.1,2020
Kab. Batang,"30063,78",49.4,148509.48,2020
Kab. Pekalongan,"40258,63",46.48,187139.81,2020
Kab. Pemalang,"73066,88",53.26,389137.21,2020
Kab. Tegal,"65086,31",53.7,349524.93,2020
Kab. Brebes,"79436,66",60.91,483850.01,2020
Kota Magelang,"162,94",57.81,942.03,2020
Kota Surakarta,"39,44",61.34,241.94,2020
Kota Salatiga,"639,76",60.39,3863.56,2020
Kota Semarang,"4086,15",55.93,22854.56,2020
Kota Pekalongan,"1628,49",47.69,7766.16,2020
Kota Tegal,"585,35",35.63,2085.38,2020
Kab. Cilacap,"115663,93",63.9,739139.63,2021
Kab. Banyumas,"52314,91",55.43,289997.96,2021
Kab. Purbalingga,"29419,77",53.65,157839.72,2021
Kab. Banjarnegara,"19230,95",56.39,108444.53,2021
Kab. Kebumen,"74646,4",52.65,392998.11,2021
Kab. Purworejo,"48392,48",53.49,258862.96,2021
Kab. Wonosobo,"13258,64",50.89,67478.55,2021
Kab. Magelang,32597,52.02,169583.59,2021
Kab. Boyolali,"50948,41",56.17,286152.12,2021
Kab. Klaten,"67241,75",57.66,387733.09,2021
Kab. Sukoharjo,"49934,63",65.74,328274.86,2021
Kab. Wonogiri,"68773,44",59.03,405989.34,2021
Kab. Karanganyar,"45355,55",59.86,271489.92,2021
Kab. Sragen,"112110,79",66.28,743073.56,2021
Kab. Grobogan,"132664,34",60.37,800945.03,2021
Kab. Blora,"98966,73",48.9,483976.74,2021
Kab. Rembang,"37034,25",52.95,196084.4,2021
Kab. Pati,"99146,53",55.37,549004.67,2021
Kab. Kudus,"30112,21",56.91,171357.49,2021
Kab. Jepara,"39784,53",48.19,191725.78,2021
Kab. Demak,"106057,44",61.93,656822.84,2021
Kab. Semarang,"24906,33",52.61,131042.54,2021
Kab. Temanggung,"10722,22",58.73,62967.4,2021
Kab. Kendal,"33512,82",55.27,185217.59,2021
Kab. Batang,"28360,2",49.96,141701.4,2021
Kab. Pekalongan,"41792,02",44.42,185622.0,2021
Kab. Pemalang,"75617,69",54.19,409805.38,2021
Kab. Tegal,"65060,67",52.42,341080.17,2021
Kab. Brebes,"86088,47",54.58,469889.52,2021
Kota Magelang,"137,68",51.65,711.11,2021
Kota Surakarta,"33,03",54.53,180.11,2021
Kota Salatiga,"613,45",55.45,3401.4,2021
Kota Semarang,"4285,43",47.34,20288.3,2021
Kota Pekalongan,"1423,03",51.53,7332.35,2021
Kota Tegal,"504,64",48.4,2442.65,2021
Kab. Cilacap,"122167,29",62.32,761355.92,2022
Kab. Banyumas,"52167,75",52.83,275622.59,2022
Kab. Purbalingga,"29039,68",53.06,154076.91,2022
Kab. Banjarnegara,"19542,41",55.8,109047.94,2022
Kab. Kebumen,"75408,34",56.34,424840.1,2022
Kab. Purworejo,"50953,04",54.78,279100.57,2022
Kab. Wonosobo,"13346,92",50.2,66996.75,2022
Kab. Magelang,"31929,17",52.96,169112.19,2022
Kab. Boyolali,"51247,81",57.35,293909.04,2022
Kab. Klaten,"63639,1",53.13,338083.63,2022
Kab. Sukoharjo,"47901,05",64.41,308529.08,2022
Kab. Wonogiri,"67238,77",56.98,383143.3,2022
Kab. Karanganyar,"44261,88",60.68,268582.78,2022
Kab. Sragen,"113182,95",55.36,626632.73,2022
Kab. Grobogan,"136397,69",57.1,778895.15,2022
Kab. Blora,"96903,57",49.72,481758.33,2022
Kab. Rembang,"34267,47",52.3,179211.77,2022
Kab. Pati,"105531,13",55.67,587469.44,2022
Kab. Kudus,"33253,32",58.85,195692.08,2022
Kab. Jepara,"41621,92",48.84,203279.05,2022
Kab. Demak,"103238,1",59.64,615685.96,2022
Kab. Semarang,"27162,32",50.72,137763.91,2022
Kab. Temanggung,"10088,95",56.39,56887.24,2022
Kab. Kendal,"30929,75",52.08,161073.29,2022
Kab. Batang,"25790,52",50.76,130915.33,2022
Kab. Pekalongan,"37108,56",44.45,164951.88,2022
Kab. Pemalang,"74711,52",52.3,390777.57,2022
Kab. Tegal,"63814,88",53.45,341113.01,2022
Kab. Brebes,"80034,23",55.25,442225.87,2022
Kota Magelang,"140,8",51.54,725.68,2022
Kota Surakarta,"27,21",49.64,135.08,2022
Kota Salatiga,"607,48",55.67,3382.08,2022
Kota Semarang,"3036,66",50.06,15201.27,2022
Kota Pekalongan,"1351,42",52.19,7052.69,2022
Kota Tegal,"625,99",51.36,3215.28,2022
Kab. Cilacap,"119730,72",64.52,772488.96,2023
Kab. Banyumas,"51330,54",54.59,280224.38,2023
Kab. Purbalingga,"26110,28",53.68,140160.87,2023
Kab. Banjarnegara,"18552,34",52.09,96637.48,2023
Kab. Kebumen,"75547,03",53.52,404317.61,2023
Kab. Purworejo,"51160,94",56.24,287721.45,2023
Kab. Wonosobo,"12578,2",48.22,60651.87,2023
Kab. Magelang,"31381,63",51.21,160694.62,2023
Kab. Boyolali,"49819,29",55.61,277037.84,2023
Kab. Klaten,"64377,47",54.97,353911.22,2023
Kab. Sukoharjo,"49628,07",70.27,348736.08,2023
Kab. Wonogiri,"66897,03",56.27,376431.03,2023
Kab. Karanganyar,"42874,47",62.18,266578.42,2023
Kab. Sragen,"109077,98",58.86,641988.28,2023
Kab. Grobogan,"129630,82",52.33,678350.41,2023
Kab. Blora,"98784,77",47.87,472868.55,2023
Kab. Rembang,"38263,49",56.35,215629.01,2023
Kab. Pati,"93852,59",54.14,508149.97,2023
Kab. Kudus,"29090,76",55.69,162001.48,2023
Kab. Jepara,"38029,74",49.26,187316.85,2023
Kab. Demak,"99263,51",56.92,564962.11,2023
Kab. Semarang,"26566,2",53.9,143193.67,2023
Kab. Temanggung,"8009,97",58.05,46499.41,2023
Kab. Kendal,"29566,56",53.75,158931.43,2023
Kab. Batang,"26690,07",54.83,146349.82,2023
Kab. Pekalongan,"38115,12",44.48,169539.43,2023
Kab. Pemalang,"73832,38",52.12,384838.98,2023
Kab. Tegal,"59835,78",53.87,322355.32,2023
Kab. Brebes,"78814,2",53.84,424362.51,2023
Kota Magelang,"123,5",52.34,646.43,2023
Kota Surakarta,"27,09",58.17,157.57,2023
Kota Salatiga,"582,55",60.1,3501.04,2023
Kota Semarang,"2765,75",57.58,15925.58,2023
Kota Pekalongan,"1305,89",59.48,7766.8,2023
Kota Tegal,"544,5",58.42,3181.05,2023
Kab. Cilacap,"106346,75",61.23,651135.71,2024
Kab. Banyumas,"45113,99",52.8,238181.19,2024
Kab. Purbalingga,"25308,33",54.7,138435.98,2024
Kab. Banjarnegara,"18116,88",56.9,103082.48,2024
Kab. Kebumen,"72338,28",51.78,374547.12,2024
Kab. Purworejo,"51878,07",53.87,279478.0,2024
Kab. Wonosobo,"11936,39",49.84,59488.44,2024
Kab. Magelang,"29938,09",50.7,151779.3,2024
Kab. Boyolali,"50261,49",55.7,279953.51,2024
Kab. Klaten,"54219,39",56.23,304870.91,2024
Kab. Sukoharjo,"42440,52",75.32,319661.43,2024
Kab. Wonogiri,"54913,68",52.76,289707.98,2024
Kab. Karanganyar,"42671,12",60.83,259568.75,2024
Kab. Sragen,"111694,08",65.56,732281.33,2024
Kab. Grobogan,"119067,6",61.75,735187.08,2024
Kab. Blora,"84846,36",50.02,424410.81,2024
Kab. Rembang,"28021,04",48.98,137256.42,2024
Kab. Pati,"96537,15",54.63,527355.2,2024
Kab. Kudus,"30196,06",58.68,177192.04,2024
Kab. Jepara,"38973,62",51.9,202255.93,2024
Kab. Demak,"100311,34",59.36,595405.86,2024
Kab. Semarang,"25946,07",59.64,154736.31,2024
Kab. Temanggung,"7846,3",64.76,50813.53,2024
Kab. Kendal,"29188,5",59.98,175081.41,2024
Kab. Batang,"25536,62",54.79,139924.97,2024
Kab. Pekalongan,"37275,76",55.02,205076.95,2024
Kab. Pemalang,"73832,13",57.07,421329.41,2024
Kab. Tegal,"58571,44",53.39,312720.22,2024
Kab. Brebes,"76188,6",55.01,419117.47,2024
Kota Magelang,"105,27",50.23,528.77,2024
Kota Surakarta,"28,44",57.59,163.78,2024
Kota Salatiga,"603,98",66.44,4012.62,2024
Kota Semarang,"2581,9",55.04,14209.65,2024
Kota Pekalongan,"1359,58",64.75,8803.8,2024
Kota Tegal,"582,33",60.84,3542.69,2024
Kab. Cilacap,125882,60.26,758569.0,2025
Kab. Banyumas,51735,53.74,278014.0,2025
Kab. Purbalingga,26909,52.81,142111.0,2025
Kab. Banjarnegara,18004,54.53,98177.0,2025
Kab. Kebumen,75456,54.65,412353.0,2025
Kab. Purworejo,55815,55.64,310539.0,2025
Kab. Wonosobo,12351,49.81,61519.0,2025
Kab. Magelang,32669,50.36,164523.0,2025
Kab. Boyolali,44501,55.12,245267.0,2025
Kab. Klaten,61841,53.22,329137.0,2025
Kab. Sukoharjo,43504,66.81,290643.0,2025
Kab. Wonogiri,68762,52.29,359542.0,2025
Kab. Karanganyar,43965,58.91,259006.0,2025
Kab. Sragen,104924,65.8,690388.0,2025
Kab. Grobogan,121944,59.37,724004.0,2025
Kab. Blora,104159,50.57,526724.0,2025
Kab. Rembang,35365,49.92,176533.0,2025
Kab. Pati,109861,55.07,604967.0,2025
Kab. Kudus,31799,55.01,174914.0,2025
Kab. Jepara,42954,49.92,214441.0,2025
Kab. Demak,108736,58.34,634373.0,2025
Kab. Semarang,28539,55.91,159547.0,2025
Kab. Temanggung,9388,58.64,55050.0,2025
Kab. Kendal,31432,54.33,170759.0,2025
Kab. Batang,23441,51.33,120335.0,2025
Kab. Pekalongan,35481,49.95,177242.0,2025
Kab. Pemalang,70445,53.05,373677.0,2025
Kab. Tegal,62480,49.51,309316.0,2025
Kab. Brebes,87615,51.71,453077.0,2025
Kota Magelang,101,48.76,491.0,2025
Kota Surakarta,42,58.29,248.0,2025
Kota Salatiga,704,60.5,4257.0,2025
Kota Semarang,2671,56.15,14996.0,2025
Kota Pekalongan,1227,63.14,7750.0,2025
Kota Tegal,292,53.94,1576.0,2025
Kab. Pacitan,"19311,99",46.44,89684.44,2018
Kab. Ponorogo,"63443,6",59.46,377263.18,2018
Kab. Trenggalek,"22732,51",53.04,120574.63,2018
Kab. Tulungagung,"34919,88",62.11,216884.62,2018
Kab. Blitar,"37101,96",60.42,224178.63,2018
Kab. Kediri,"37008,78",59.4,219834.83,2018
Kab. Malang,"50374,07",57.18,288019.9,2018
Kab. Lumajang,"56617,2",54.88,310736.82,2018
Kab. Jember,"125135,86",55.04,688809.35,2018
Kab. Banyuwangi,"84360,77",60.99,514528.78,2018
Kab. Bondowoso,"49799,08",50.97,253835.28,2018
Kab. Situbondo,"31622,51",55.52,175555.17,2018
Kab. Probolinggo,"38415,47",45.96,176575.62,2018
Kab. Pasuruan,"52562,4",57.54,302466.49,2018
Kab. Sidoarjo,"37276,74",66.58,248200.92,2018
Kab. Mojokerto,"52445,83",60.61,317873.85,2018
Kab. Jombang,"63300,84",62.21,393773.29,2018
Kab. Nganjuk,"65539,42",60.33,395385.12,2018
Kab. Madiun,"69132,72",58.58,404953.1,2018
Kab. Magetan,"45514,31",63.6,289458.37,2018
Kab. Ngawi,"121760,76",61.33,746762.6,2018
Kab. Bojonegoro,"134770,38",55.84,752513.4,2018
Kab. Tuban,"95854,59",58.86,564241.12,2018
Kab. Lamongan,"144781,98",61.93,896652.91,2018
Kab. Gresik,"57721,64",60.93,351702.39,2018
Kab. Bangkalan,"40957,48",59.5,243711.73,2018
Kab. Sampang,"37723,93",50.11,189040.08,2018
Kab. Pamekasan,"21977,78",51.95,114179.46,2018
Kab. Sumenep,"46193,41",55.91,258284.99,2018
Kota Kediri,"1581,85",64.52,10205.56,2018
Kota Blitar,"759,75",64.12,4871.29,2018
Kota Malang,"1857,02",63.81,11850.09,2018
Kota Probolinggo,"1165,41",49.31,5747.01,2018
Kota Pasuruan,"1819,04",65.13,11846.57,2018
Kota Mojokerto,"730,32",57.26,4182.15,2018
Kota Madiun,"1362,01",62.3,8485.37,2018
Kota Surabaya,"2687,21",53.86,14474.53,2018
Kota Batu,"871,17",67.38,5869.53,2018
Kab. Pacitan,"20504,49",44.84,91941.66,2019
Kab. Ponorogo,"58080,19",55.48,322205.5,2019
Kab. Trenggalek,"20474,89",54.81,112213.57,2019
Kab. Tulungagung,"34584,26",56.8,196430.58,2019
Kab. Blitar,"36193,94",61.9,224027.19,2019
Kab. Kediri,"39448,75",56.49,222837.82,2019
Kab. Malang,"48397,75",58.08,281072.26,2019
Kab. Lumajang,"53466,4",53.1,283894.22,2019
Kab. Jember,"123591,19",49.91,616858.41,2019
Kab. Banyuwangi,"81552,77",54.6,445253.86,2019
Kab. Bondowoso,"53458,86",47.02,251371.94,2019
Kab. Situbondo,"30225,88",55.47,167665.54,2019
Kab. Probolinggo,"39464,38",49.1,193774.5,2019
Kab. Pasuruan,"53788,66",50.1,269463.05,2019
Kab. Sidoarjo,"34287,25",68.48,234788.11,2019
Kab. Mojokerto,"54993,37",61.78,339755.88,2019
Kab. Jombang,"56138,02",61.32,344236.34,2019
Kab. Nganjuk,"65066,04",61.45,399845.68,2019
Kab. Madiun,"68014,65",61.65,419292.44,2019
Kab. Magetan,"42231,51",61.72,260671.35,2019
Kab. Ngawi,"122500,97",63.44,777190.36,2019
Kab. Bojonegoro,"128863,83",53.71,692073.16,2019
Kab. Tuban,"91199,72",57.01,519934.36,2019
Kab. Lamongan,"140463,58",59.78,839724.43,2019
Kab. Gresik,"61643,05",59.65,367717.66,2019
Kab. Bangkalan,"39854,38",50.59,201620.0,2019
Kab. Sampang,"33052,04",47.27,156219.52,2019
Kab. Pamekasan,"20169,17",45.27,91313.32,2019
Kab. Sumenep,"38411,97",48.45,186090.84,2019
Kota Kediri,"1396,04",50.38,7032.99,2019
Kota Blitar,"911,72",66.74,6084.58,2019
Kota Malang,"2019,48",68.88,13909.7,2019
Kota Probolinggo,"1402,28",51.1,7165.2,2019
Kota Pasuruan,"2055,26",52.57,10804.71,2019
Kota Mojokerto,"700,93",50.87,3565.88,2019
Kota Madiun,"1302,28",63.42,8259.39,2019
Kota Surabaya,"1724,45",55.65,9596.78,2019
Kota Batu,"791,96",63.53,5031.1,2019
Kab. Pacitan,"19292,31",43.51,83940.9,2020
Kab. Ponorogo,"65073,25",57.99,377333.2,2020
Kab. Trenggalek,"19630,82",55.24,108445.62,2020
Kab. Tulungagung,"36689,03",58.44,214398.13,2020
Kab. Blitar,"34794,97",56.57,196847.53,2020
Kab. Kediri,"36363,62",59.38,215913.41,2020
Kab. Malang,"46121,03",59.49,274389.82,2020
Kab. Lumajang,"53781,48",54.05,290688.21,2020
Kab. Jember,"121605,87",48.54,590263.37,2020
Kab. Banyuwangi,"83992,78",56.06,470832.63,2020
Kab. Bondowoso,"54209,66",48.15,261018.48,2020
Kab. Situbondo,"30529,3",52.39,159928.19,2020
Kab. Probolinggo,"36925,53",52.16,192600.06,2020
Kab. Pasuruan,"53127,08",51.37,272936.27,2020
Kab. Sidoarjo,"34321,14",60.93,209109.93,2020
Kab. Mojokerto,"54504,65",57.37,312686.37,2020
Kab. Jombang,"55793,12",61.51,343163.9,2020
Kab. Nganjuk,"71155,01",61.4,436884.05,2020
Kab. Madiun,"73000,03",61.1,446052.38,2020
Kab. Magetan,"46821,62",66.01,309053.07,2020
Kab. Ngawi,"125908,27",66.54,837773.15,2020
Kab. Bojonegoro,"135635,02",53.74,728915.12,2020
Kab. Tuban,"92341,72",54.91,507053.88,2020
Kab. Lamongan,"148030,9",59.86,886060.99,2020
Kab. Gresik,"67010,8",60.84,407716.63,2020
Kab. Bangkalan,"44047,57",47.06,207294.89,2020
Kab. Sampang,"37792,37",50.73,191735.47,2020
Kab. Pamekasan,"20170,12",50.48,101827.44,2020
Kab. Sumenep,"42754,1",53.56,228980.21,2020
Kota Kediri,"1686,21",60.99,10283.81,2020
Kota Blitar,"771,27",68.38,5274.24,2020
Kota Malang,"1738,53",67.43,11723.75,2020
Kota Probolinggo,"1449,75",52.03,7543.19,2020
Kota Pasuruan,"1648,68",61.35,10115.21,2020
Kota Mojokerto,"733,26",60.85,4461.78,2020
Kota Madiun,"2313,68",65.55,15166.53,2020
Kota Surabaya,"1865,64",59.7,11138.05,2020
Kota Batu,"750,11",66.5,4988.4,2020
Kab. Pacitan,"18894,01",46.64,88116.57,2021
Kab. Ponorogo,"68741,09",58.87,404665.04,2021
Kab. Trenggalek,"22491,95",51.78,116456.34,2021
Kab. Tulungagung,"39850,76",59.7,237916.96,2021
Kab. Blitar,"38640,6",64.02,247366.27,2021
Kab. Kediri,"35113,22",56.45,198222.01,2021
Kab. Malang,"45344,49",60.28,273358.61,2021
Kab. Lumajang,"56671,26",52.07,295075.52,2021
Kab. Jember,"124027,77",49.64,615697.87,2021
Kab. Banyuwangi,"89125,2",57.61,513490.07,2021
Kab. Bondowoso,"51620,95",50.16,258951.46,2021
Kab. Situbondo,"30388,14",49.74,151157.12,2021
Kab. Probolinggo,"37043,19",51.34,190180.14,2021
Kab. Pasuruan,"50305,51",52.67,264950.78,2021
Kab. Sidoarjo,"32586,19",62.14,202501.4,2021
Kab. Mojokerto,"51258,22",57.95,297042.32,2021
Kab. Jombang,"54968,44",59.46,326826.64,2021
Kab. Nganjuk,"72439,86",59.26,429311.01,2021
Kab. Madiun,"75713,29",60.99,461798.12,2021
Kab. Magetan,"48487,59",63.37,307279.68,2021
Kab. Ngawi,"128737,95",61.09,786475.65,2021
Kab. Bojonegoro,"134609,22",50.07,674002.0,2021
Kab. Tuban,"88049,64",55.58,489418.62,2021
Kab. Lamongan,"138450,43",57.25,792662.09,2021
Kab. Gresik,"61394,39",61.84,379666.19,2021
Kab. Bangkalan,"42110,04",46.38,195323.29,2021
Kab. Sampang,"38151,91",51.27,195600.69,2021
Kab. Pamekasan,"18925,74",51.11,96723.97,2021
Kab. Sumenep,"40298,59",55.08,221979.41,2021
Kota Kediri,"1735,3",54.95,9534.86,2021
Kota Blitar,"884,95",65.46,5793.3,2021
Kota Malang,"1791,43",63.14,11311.4,2021
Kota Probolinggo,"1530,83",58.3,8924.08,2021
Kota Pasuruan,"1553,82",53.45,8304.59,2021
Kota Mojokerto,"754,27",58.53,4414.93,2021
Kota Madiun,"2229,49",60.58,13505.81,2021
Kota Surabaya,"1736,08",56.64,9832.67,2021
Kota Batu,"825,39",69.67,5750.19,2021
Kab. Pacitan,"17831,47",50.71,90428.21,2022
Kab. Ponorogo,"62964,37",57.08,359413.77,2022
Kab. Trenggalek,"22026,97",52.55,115758.01,2022
Kab. Tulungagung,"39531,25",52.42,207217.26,2022
Kab. Blitar,"34137,74",63.12,215482.79,2022
Kab. Kediri,"29379,86",57.47,168853.55,2022
Kab. Malang,"45901,91",59.17,271606.78,2022
Kab. Lumajang,"55042,5",54.65,300829.01,2022
Kab. Jember,"118489,25",51.26,607371.19,2022
Kab. Banyuwangi,"76748,03",60.22,462205.98,2022
Kab. Bondowoso,"48240,7",49.48,238677.65,2022
Kab. Situbondo,"26784,22",52.88,141628.0,2022
Kab. Probolinggo,"33503,12",55.34,185412.51,2022
Kab. Pasuruan,"47384,82",52.18,247255.72,2022
Kab. Sidoarjo,"31368,74",62.02,194540.45,2022
Kab. Mojokerto,"49395,45",57.06,281829.41,2022
Kab. Jombang,"54896,68",61.42,337172.14,2022
Kab. Nganjuk,"70331,77",53.53,376476.43,2022
Kab. Madiun,"73061,53",54.96,401573.69,2022
Kab. Magetan,"43965,49",60.66,266699.89,2022
Kab. Ngawi,"128585,79",58.79,755938.95,2022
Kab. Bojonegoro,"133665,5",52.69,704288.94,2022
Kab. Tuban,"85288,02",58.5,498938.59,2022
Kab. Lamongan,"150903,4",59.9,903882.29,2022
Kab. Gresik,"63287,2",64.98,411242.2,2022
Kab. Bangkalan,"40717,81",48.66,198122.71,2022
Kab. Sampang,"34880,84",49.45,172494.38,2022
Kab. Pamekasan,"20497,42",52.52,107648.71,2022
Kab. Sumenep,"41835,41",55.12,230581.31,2022
Kota Kediri,"1864,13",54.7,10197.5,2022
Kota Blitar,"728,19",71.58,5212.13,2022
Kota Malang,"1718,11",62.69,10771.15,2022
Kota Probolinggo,"1323,99",61.21,8103.92,2022
Kota Pasuruan,"1393,98",52.32,7293.69,2022
Kota Mojokerto,"833,03",60.42,5032.96,2022
