kabupaten,luas_panen,produktivitas,produksi,tahun
Kota Banda Aceh,"13,07",55.83,72.97,2022
Kota Langsa,"1610,27",44.1,7101.39,2022
Kota Lhokseumawe,"1812,04",54.63,9899.07,2022
Kota Subulussalam,"53,28",45.9,244.58,2022
Kab. Simeulue,"5780,84",38.13,22042.94,2023
Kab. Aceh Singkil,"568,49",45.55,2589.4,2023
Kab. Aceh Selatan,"9437,58",49.11,46345.03,2023
Kab. Aceh Tenggara,"10809,75",58.99,63764.22,2023
Kab. Aceh Timur,"20932,84",51.71,108241.39,2023
Kab. Aceh Tengah,"2768,66",47.79,13230.39,2023
Kab. Aceh Barat,"10428,34",52.08,54313.59,2023
Kab. Aceh Besar,"29496,99",51.81,152831.03,2023
Kab. Pidie,"35041,24",64.48,225934.01,2023
Kab. Bireuen,"22234,26",60.01,133428.17,2023
Kab. Aceh Utara,"44037,18",53.78,236839.84,2023
Kab. Aceh Barat Daya,"9821,66",54.53,53557.8,2023
Kab. Gayo Lues,"4853,1",57.08,27701.99,2023
Kab. Aceh Tamiang,"14641,18",44.73,65490.21,2023
Kab. Nagan Raya,"8753,48",46.92,41075.25,2023
Kab. Aceh Jaya,"9029,91",59.63,53843.97,2023
Kab. Bener Meriah,"311,74",55.02,1715.26,2023
Kab. Pidie Jaya,"11855,8",71.22,84438.5,2023
Kota Banda Aceh,"10,09",49.41,49.85,2023
Kota Langsa,"1692,32",44.16,7473.79,2023
Kota Lhokseumawe,"1758,58",52.33,9203.42,2023
Kota Subulussalam,"23,35",53.43,124.77,2023
Kab. Simeulue,"6809,33",34.22,23304.21,2024
Kab. Aceh Singkil,"477,29",37.9,1809.06,2024
Kab. Aceh Selatan,"8660,18",46.44,40220.59,2024
Kab. Aceh Tenggara,"11780,75",62.25,73335.46,2024
Kab. Aceh Timur,"28474,38",51.55,146792.05,2024
Kab. Aceh Tengah,"2973,25",54.83,16301.49,2024
Kab. Aceh Barat,"12393,78",54.82,67942.01,2024
Kab. Aceh Besar,"34411,09",51.82,178318.81,2024
Kab. Pidie,"38255,8",62.62,239555.09,2024
Kab. Bireuen,"26385,77",60.71,160178.81,2024
Kab. Aceh Utara,"61388,38",56.09,344303.81,2024
Kab. Aceh Barat Daya,"11834,21",55.15,65264.23,2024
Kab. Gayo Lues,"4461,97",51.46,22961.01,2024
Kab. Aceh Tamiang,"14990,98",47.48,71172.21,2024
Kab. Nagan Raya,"9234,82",38.66,35701.39,2024
Kab. Aceh Jaya,"9772,05",53.86,52636.91,2024
Kab. Bener Meriah,"287,83",48.93,1408.35,2024
Kab. Pidie Jaya,"15204,8",67.7,102934.34,2024
Kota Banda Aceh,"12,89",50.79,65.49,2024
Kota Langsa,"1579,12",50.38,7956.06,2024
Kota Lhokseumawe,"1781,45",43.17,7690.1,2024
Kota Subulussalam,"26,22",43.78,114.8,2024
Kab. Simeulue,7485,33.07,24754.0,2025
Kab. Aceh Singkil,291,38.23,1112.0,2025
Kab. Aceh Selatan,8582,55.34,47494.0,2025
Kab. Aceh Tenggara,10322,63.08,65112.0,2025
Kab. Aceh Timur,29390,51.05,150040.0,2025
Kab. Aceh Tengah,2486,60.87,15135.0,2025
Kab. Aceh Barat,15155,53.53,81123.0,2025
Kab. Aceh Besar,29943,55.36,165764.0,2025
Kab. Pidie,43252,61.99,268134.0,2025
Kab. Bireuen,21188,57.91,122708.0,2025
Kab. Aceh Utara,52937,58.4,309151.0,2025
Kab. Aceh Barat Daya,11895,66.77,79429.0,2025
Kab. Gayo Lues,4695,49.2,23102.0,2025
Kab. Aceh Tamiang,14338,49.99,71678.0,2025
Kab. Nagan Raya,6284,45.19,28397.0,2025
Kab. Aceh Jaya,7570,60.33,45672.0,2025
Kab. Bener Meriah,281,51.81,1457.0,2025
Kab. Pidie Jaya,13389,71.86,96205.0,2025
Kota Banda Aceh,16,50.68,83.0,2025
Kota Sabang,3,44.87,13.0,2025
Kota Langsa,1985,49.93,9912.0,2025
Kota Lhokseumawe,1550,51.76,8020.0,2025
Kota Subulussalam,142,49.63,704.0,2025
Kab. Pandeglang,"96432,95",48.07,463563.57,2018
Kab. Lebak,"87014,25",46.6,405487.31,2018
Kab. Tangerang,"67552,26",47.16,318582.88,2018
Kab. Serang,"79738,17",52.68,420047.03,2018
Kota Tangerang,"764,32",51.07,3903.54,2018
Kota Cilegon,"1737,24",48.06,8348.6,2018
Kota Serang,"11583,65",58.52,67784.78,2018
Kota Tangerang Selatan,"13,22",49.61,65.59,2019
Kab. Pandeglang,"83996,17",49.91,419229.97,2019
Kab. Lebak,"78398,93",44.5,348869.03,2019
Kab. Tangerang,"54913,73",50.38,276627.35,2019
Kab. Serang,"72559,52",47.57,345163.17,2019
Kota Tangerang,"553,31",63.2,3496.82,2019
Kota Cilegon,"1753,43",55.62,9751.86,2019
Kota Serang,"11552,6",58.29,67344.61,2019
Kota Tangerang Selatan,"4,11",49.98,20.54,2019
Kab. Pandeglang,"82104,95",54.08,444025.8,2020
Kab. Lebak,"81413,36",49.48,402870.63,2020
Kab. Tangerang,"63037,16",52.16,328825.23,2020
Kab. Serang,"82397,42",47.57,391973.23,2020
Kota Tangerang,"822,73",57.7,4747.24,2020
Kota Cilegon,"1895,05",51.26,9714.09,2020
Kota Serang,"13662,57",53.44,73013.87,2020
Kab. Pandeglang,"85561,46",50.73,434087.91,2021
Kab. Lebak,"75286,68",50.42,379567.82,2021
Kab. Tangerang,64616,50.63,327151.31,2021
Kab. Serang,"78827,17",48.63,383353.44,2021
Kota Tangerang,"582,8",52.98,3087.95,2021
Kota Cilegon,"1719,87",52.55,9037.99,2021
Kota Serang,"11654,48",57.45,66960.58,2021
Kab. Pandeglang,"95925,14",57.67,553202.57,2022
Kab. Lebak,"82353,92",52.26,430413.56,2022
Kab. Tangerang,"61015,22",47.5,289798.4,2022
Kab. Serang,"84760,35",52.7,446654.32,2022
